epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,5464.97,0.43931,0.47802,0.91885,0.98522,0.99351,0.98814,0.9127,0.40416,0.60725,0.91805,0.000126657,0.000126657,0.000126657
41,5603.89,0.38691,0.60089,0.91342,0.98081,0.99019,0.98568,0.91766,0.39374,0.65553,0.90775,0.000115648,0.000115648,0.000115648
42,5746.22,0.38756,0.57196,0.89999,0.98512,0.98515,0.98449,0.90913,0.395,0.62073,0.91081,0.000104639,0.000104639,0.000104639
43,5883.63,0.37943,0.5551,0.88258,0.9847,0.98515,0.99244,0.9196,0.40298,0.58507,0.91809,9.36304e-05,9.36304e-05,9.36304e-05
44,6021.58,0.37567,0.5323,0.88643,0.98372,0.98466,0.99165,0.91695,0.39296,0.56549,0.91244,8.26216e-05,8.26216e-05,8.26216e-05
45,6159.96,0.36935,0.526,0.89541,0.98527,0.98414,0.98755,0.9196,0.39266,0.56329,0.91072,7.16128e-05,7.16128e-05,7.16128e-05
46,6293.46,0.37679,0.52445,0.8796,0.98649,0.98402,0.98543,0.90551,0.39177,0.5567,0.91095,6.0604e-05,6.0604e-05,6.0604e-05
47,6423.69,0.36765,0.51853,0.87929,0.98574,0.98423,0.98818,0.91683,0.38627,0.5635,0.90593,4.95952e-05,4.95952e-05,4.95952e-05
48,6553.43,0.36876,0.51195,0.9036,0.98568,0.98435,0.98588,0.92369,0.38229,0.54472,0.90356,3.85864e-05,3.85864e-05,3.85864e-05
49,6683.84,0.3718,0.51023,0.88452,0.98564,0.98433,0.98441,0.92292,0.37991,0.54314,0.90289,2.75776e-05,2.75776e-05,2.75776e-05
50,6815.22,0.36086,0.49836,0.87387,0.98488,0.98434,0.98446,0.92336,0.37848,0.53525,0.90255,1.65688e-05,1.65688e-05,1.65688e-05
